Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3DPSUG9Z2FCH95T50NFW61NWE56TJR,2019-07-23 12:01:50 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,391FPZIE4C6421LHD2XHK73TDSBUHF,3MD9PLUKKJYGKGZWCQW3V3BSK9JNZ3
35LT7RL41T57DGRB0J2DQT59SZDFJ0,2019-07-23 12:01:50 -0700,2019-07-23 19:42:51 -0700,AssignmentPayment,,A28VE2YSRYE3B8,-1.500,391FPZIE4C6421LHD2XHK73TDSBUHF,39KFRKBFIOFYXBP3HJUXWL2V4Q1YOL
3QSWZPDJZ5TRA1G3XU1705SRQ1HB4T,2019-07-23 12:01:50 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,391FPZIE4C6421LHD2XHK73TDSBUHF,39KFRKBFIOFYXBP3HJUXWL2V4Q1YOL
3O0GZ8R0CJ9YS5JGLKQFHK263KE82P,2019-07-23 12:01:51 -0700,2019-07-23 19:32:26 -0700,AssignmentPayment,,AGKL1HOKIR138,-1.500,391FPZIE4C6421LHD2XHK73TDSBUHF,32EYX73OY1TKDFXEZAECNV1NJTYURO
3VSZWZ75JT58TEMW061XHV0FTQZ3NP,2019-07-23 12:01:51 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,391FPZIE4C6421LHD2XHK73TDSBUHF,32EYX73OY1TKDFXEZAECNV1NJTYURO
3O9MMOJOFPWD86FB34EQ68I1WOIFL2,2019-07-23 12:01:51 -0700,2019-07-23 20:56:13 -0700,AssignmentPayment,,A3F51C49T9A34D,-1.500,391FPZIE4C6421LHD2XHK73TDSBUHF,3SPJ033422NKW0Y6162SOPL95WKJYG
3A3HNIKQVFW5POKHGIUMX3C5MSNB6E,2019-07-23 12:01:51 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,391FPZIE4C6421LHD2XHK73TDSBUHF,3SPJ033422NKW0Y6162SOPL95WKJYG
386WB6DBBS21KPAGYKLUNOTIQUFI43,2019-07-23 12:01:51 -0700,2019-07-23 17:19:21 -0700,AssignmentPayment,,A30KYQGABO7JER,-1.500,391FPZIE4C6421LHD2XHK73TDSBUHF,3VA45EW49O7175E05UNOIYRLX8PO1G
3B5OJ490AK66ER069AK1YTRMKIPDPT,2019-07-23 12:01:51 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,391FPZIE4C6421LHD2XHK73TDSBUHF,3VA45EW49O7175E05UNOIYRLX8PO1G
3SHHZZKI725FZCEUH8E9KMDWMLLI6O,2019-07-23 12:01:51 -0700,2019-07-23 20:54:48 -0700,AssignmentPayment,,A3H32595TVJ34Q,-1.500,391FPZIE4C6421LHD2XHK73TDSBUHF,3XLBSAQ9Z5WRHV79WJFEZ6P2KZQZ7Q
3VJKAA4QYK9RQ4GLM2OQ3OR1L0DDRL,2019-07-23 12:01:51 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,391FPZIE4C6421LHD2XHK73TDSBUHF,3XLBSAQ9Z5WRHV79WJFEZ6P2KZQZ7Q
3H4V6HLE5OW6B17KJ1KVX9XTZ1WY08,2019-07-23 12:01:52 -0700,2019-07-23 20:45:51 -0700,AssignmentPayment,,A2435PZYVK2552,-1.500,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3LKC68YZ3BNU86U32IC9BOHFTHCOWL
3WDL9D7JGB3N4VH538R9MG0OIUBTLT,2019-07-23 12:01:52 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3LKC68YZ3BNU86U32IC9BOHFTHCOWL
3NNCC8X88J7MROXKTY071R9NCAZ570,2019-07-23 12:01:52 -0700,2019-07-23 18:58:59 -0700,AssignmentPayment,,AYYBMS4XQJ9AP,-1.500,3BFF0DJK8XWESXK8ORJ6JPOT3PLTS8,3EFVCAY5L4T5HU7OO24YPCX7CHU8J4
37593IMCPBI9SZF4PF00ERCEDDN0S3,2019-07-23 12:01:52 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3BFF0DJK8XWESXK8ORJ6JPOT3PLTS8,3EFVCAY5L4T5HU7OO24YPCX7CHU8J4
3VWYYZAAMUD6VS681XUPEYHRTLRATN,2019-07-23 12:01:52 -0700,2019-07-23 18:43:00 -0700,AssignmentPayment,,A342YLIMT6THWO,-1.500,3BFF0DJK8XWESXK8ORJ6JPOT3PLTS8,36WLNQG780UG8CJ3DDDHJYAGFEJBEJ
3RVGK178EHU3WRW1Q9WCYBIQPP06E9,2019-07-23 12:01:52 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3BFF0DJK8XWESXK8ORJ6JPOT3PLTS8,36WLNQG780UG8CJ3DDDHJYAGFEJBEJ
3YTVWUSOFGCEOQIPLD42QGM93UTDHI,2019-07-23 12:01:52 -0700,2019-07-23 19:59:34 -0700,AssignmentPayment,,A2IGPW784OFV3D,-1.500,3BFF0DJK8XWESXK8ORJ6JPOT3PLTS8,3DEL4X4EL75LRK3VIAHTFYTOGTGYXY
3A4GE1BB5UJYJUMJVW4NGK03INI92L,2019-07-23 12:01:52 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3BFF0DJK8XWESXK8ORJ6JPOT3PLTS8,3DEL4X4EL75LRK3VIAHTFYTOGTGYXY
3HOJK8XK6VR3W6IWFHU5J0MQ1JIFN4,2019-07-23 12:01:52 -0700,2019-07-23 19:01:18 -0700,AssignmentPayment,,A2X97JJL3AGIB9,-1.500,3BFF0DJK8XWESXK8ORJ6JPOT3PLTS8,31LM9EDVOMCQK1USU4TH79N21BTJN1
3VRAUPG0YTBST2359XRKHH8WSNDB80,2019-07-23 12:01:52 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3BFF0DJK8XWESXK8ORJ6JPOT3PLTS8,31LM9EDVOMCQK1USU4TH79N21BTJN1
32A4N1WZTH3D7BAYYOO9GXQ8WZGY2S,2019-07-23 12:01:53 -0700,2019-07-23 21:06:17 -0700,AssignmentPayment,,AL68ETF0OBLU4,-1.500,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3U4J9857OFVVZX4TQ5ZBDOIZTTZ7BH
3PSI7XLF7HYDSVKQFL7OZ84DNPBTNV,2019-07-23 12:01:53 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3U4J9857OFVVZX4TQ5ZBDOIZTTZ7BH
3HSLYMM0F08MA62H8M2I7XJIJPG866,2019-07-23 12:01:53 -0700,2019-07-23 17:37:43 -0700,AssignmentPayment,,A8RDXT4ZILHQT,-1.500,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3RKNTXVS3NITX0HIIT18F1EJK80A4F
3C4F11T12JWT8CEOTDIEQF5PUNO3RD,2019-07-23 12:01:53 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3RKNTXVS3NITX0HIIT18F1EJK80A4F
3RFOPKP8EM6DC9FS67VM312X6HFAX6,2019-07-23 12:01:53 -0700,2019-07-23 19:38:45 -0700,AssignmentPayment,,A2VD133723IZR8,-1.500,3D42WVSDH8F15EEGSD66K7XTT19YFJ,3ND9UOO81LMM2LR6PQWHJ7DLYD5WLC
3SEH73JB4UBFCWYNMSM3JQGIHI76II,2019-07-23 12:01:54 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3D42WVSDH8F15EEGSD66K7XTT19YFJ,3ND9UOO81LMM2LR6PQWHJ7DLYD5WLC
327EKN7LD0QAFWDF9D7N2T2OGMXDJN,2019-07-23 12:01:53 -0700,2019-07-23 19:48:39 -0700,AssignmentPayment,,A1ICA8NIIWU3MF,-1.500,3D42WVSDH8F15EEGSD66K7XTT19YFJ,33OOO72IVI5170T6H8Y7T4GZ096TCY
3JL0PMZ4C1F8M816ZANB9ZX121E94H,2019-07-23 12:01:53 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3D42WVSDH8F15EEGSD66K7XTT19YFJ,33OOO72IVI5170T6H8Y7T4GZ096TCY
3Y0ZPAJGPLIOB4AO8OBMSKR02G7FRS,2019-07-23 12:01:53 -0700,2019-07-23 19:26:29 -0700,AssignmentPayment,,AG9LWKO86TNHG,-1.500,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3NS0A6KXC5SAAOIAPMJ85J2VJY7ZGJ
3VURTDY1HUYU55TIQ97PJ34FIEYBC6,2019-07-23 12:01:53 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3NS0A6KXC5SAAOIAPMJ85J2VJY7ZGJ
3UR5K07GS6U1RJNGCDGHSZSIQ14FT5,2019-07-23 12:01:53 -0700,2019-07-23 18:17:29 -0700,AssignmentPayment,,A1T7EB1WEDCMXV,-1.500,3D42WVSDH8F15EEGSD66K7XTT19YFJ,352YTHGROWX87NPWOZB0WN1NX24H49
35X5802F0IR923DWM0DK9R4I3QBBEZ,2019-07-23 12:01:53 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3D42WVSDH8F15EEGSD66K7XTT19YFJ,352YTHGROWX87NPWOZB0WN1NX24H49
30P6MK0AJC3J184SY7LQYYEIUQZNJF,2019-07-23 12:01:53 -0700,2019-07-23 20:10:26 -0700,AssignmentPayment,,A1LCK6QNWR53QI,-1.500,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3SKEMFQBZ4P0SED66N4AQRXKR5UK8D
38H12KHWEY8XSKEFLMEOYTB4Y6QJ4M,2019-07-23 12:01:53 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3538U0YQ1FE0PBHS3SDGUD1GK1F3FL,3SKEMFQBZ4P0SED66N4AQRXKR5UK8D
3BROYMKS0OZNAPPL227X9CN6GDCY4O,2019-07-23 12:01:54 -0700,2019-07-23 18:19:57 -0700,AssignmentPayment,,A1JJYY622DGE5L,-1.500,3D42WVSDH8F15EEGSD66K7XTT19YFJ,3Z4GS9HPNWU8XL13DONV8MW3A5Y77P
3MQ2LTCL27MDVGW3V0KG3X98N4CTPR,2019-07-23 12:01:54 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3D42WVSDH8F15EEGSD66K7XTT19YFJ,3Z4GS9HPNWU8XL13DONV8MW3A5Y77P
3INFT7LQ9289T00A6FCN6TVJV0Q5BM,2019-07-23 12:01:54 -0700,2019-07-23 17:38:34 -0700,AssignmentPayment,,A3JGSSDEJ0AWTW,-1.500,3D42WVSDH8F15EEGSD66K7XTT19YFJ,3ZSY5X72NYVP0ADH3O23OP9Y15BOR2
3T1ST97RN3A2ZGWD9KA1BGFZJQJ0WI,2019-07-23 12:01:54 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3D42WVSDH8F15EEGSD66K7XTT19YFJ,3ZSY5X72NYVP0ADH3O23OP9Y15BOR2
3LV7ZK55RWHGAM1FCYJ0I8FGKB2DLP,2019-07-23 12:01:54 -0700,2019-07-23 19:07:57 -0700,AssignmentPayment,,A3GEHH49HNJM57,-1.500,3TCFMTM8HE8KEER1STKQM1SUDD112C,3F0BG9B9MQ7RC5X40XDVLZG0E0E7YP
33WLDF6B8BIM1V5KIYGQ6XHFYSK962,2019-07-23 12:01:54 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3TCFMTM8HE8KEER1STKQM1SUDD112C,3F0BG9B9MQ7RC5X40XDVLZG0E0E7YP
30MV80A14JAG4BR5H8GWTHG3NMKFVL,2019-07-23 12:01:54 -0700,2019-07-23 20:15:14 -0700,AssignmentPayment,,A29O3X7F446T1P,-1.500,3TCFMTM8HE8KEER1STKQM1SUDD112C,3FPRZHYEPZRS7S1CTANL1J0QRJYV3B
3JCSCEL3TXO7MH9NSV389UPUG6QBGG,2019-07-23 12:01:54 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3TCFMTM8HE8KEER1STKQM1SUDD112C,3FPRZHYEPZRS7S1CTANL1J0QRJYV3B
3D5A66GSAGK23QXIANB7409NSGBI8A,2019-07-23 12:01:54 -0700,2019-07-23 17:39:20 -0700,AssignmentPayment,,A1FH90231E356N,-1.500,3TCFMTM8HE8KEER1STKQM1SUDD112C,323Q6SJS8J0I53ML8G7JNRYEMT0HFM
3RAQ50SQ15L46JTDQRTL33SJ9LADTY,2019-07-23 12:01:54 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3TCFMTM8HE8KEER1STKQM1SUDD112C,323Q6SJS8J0I53ML8G7JNRYEMT0HFM
3RI91X5NREA2H4F77PJ70MI8EHDAZ3,2019-07-23 12:01:55 -0700,2019-07-23 19:21:23 -0700,AssignmentPayment,,A1H5AOHSC6H59,-1.500,3TCFMTM8HE8KEER1STKQM1SUDD112C,35BLDD71I7HTSL85EHIU5K556G6ZVP
36X50IG9O876IROBMV7FW6VV9MW6KT,2019-07-23 12:01:55 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3TCFMTM8HE8KEER1STKQM1SUDD112C,35BLDD71I7HTSL85EHIU5K556G6ZVP
3EA4X4J1I2C6YM40OBZFV0J5P62DNR,2019-07-23 12:01:55 -0700,2019-07-23 19:10:23 -0700,AssignmentPayment,,A2XAEFI6S2DUU3,-1.500,3M4KL7H8KV78WFA2FVWTCE96TI316T,3KV0LJBBH35107S5Q8NQWLKT62UMRD
3OKEKM2LBPX959O8BDDOQBD64NA98O,2019-07-23 12:01:55 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M4KL7H8KV78WFA2FVWTCE96TI316T,3KV0LJBBH35107S5Q8NQWLKT62UMRD
3QAVBLMEKYN880W0HNHEH2DO3XSFXO,2019-07-23 12:01:55 -0700,2019-07-23 17:59:46 -0700,AssignmentPayment,,A2KB6FKENIRVWV,-1.500,3M4KL7H8KV78WFA2FVWTCE96TI316T,3AWETUDC93CO6FO5FAJBQVFBYBUIZP
36G6V2EIQV8LI8FIIJ3BU62AVJIBI8,2019-07-23 12:01:55 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M4KL7H8KV78WFA2FVWTCE96TI316T,3AWETUDC93CO6FO5FAJBQVFBYBUIZP
3XS1KH5XV0IRKXJJIJ7T9U88VI1KVS,2019-07-23 12:01:55 -0700,2019-07-23 19:47:42 -0700,AssignmentPayment,,A10JXOU89D5RXR,-1.500,3M4KL7H8KV78WFA2FVWTCE96TI316T,3P59JYT76M4O9I14KF91HR7DOIA2TF
3EJEDBR95EJ3DYHY8HVMA5GRWJIGG2,2019-07-23 12:01:55 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M4KL7H8KV78WFA2FVWTCE96TI316T,3P59JYT76M4O9I14KF91HR7DOIA2TF
3CSWZ1CQOEPFKYVDD5DIR5VZ3A4NNJ,2019-07-23 12:01:55 -0700,2019-07-23 20:53:34 -0700,AssignmentPayment,,A2SQQLID1CQUHL,-1.500,3M4KL7H8KV78WFA2FVWTCE96TI316T,3WJEQKOXA9MC51KZVBI6H37G8QGA1W
3DGFXKKDDMQYBL1HXP41F5R90SMJ8T,2019-07-23 12:01:55 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M4KL7H8KV78WFA2FVWTCE96TI316T,3WJEQKOXA9MC51KZVBI6H37G8QGA1W
32GE5TIAIEN9EKL511ZGRBF9PK688S,2019-07-23 12:01:56 -0700,2019-07-23 20:15:41 -0700,AssignmentPayment,,ASVRLMDNQBUD9,-1.500,3M4KL7H8KV78WFA2FVWTCE96TI316T,3VE8AYVF8NHPCSLS5CDDAE5FJC6F85
38VLWRH15486ORRGX2N9QU67I8L3TQ,2019-07-23 12:01:56 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M4KL7H8KV78WFA2FVWTCE96TI316T,3VE8AYVF8NHPCSLS5CDDAE5FJC6F85
3VNL13LOX1RNX8EKYZJUN2L4F868AW,2019-07-23 12:01:56 -0700,2019-07-23 20:08:43 -0700,AssignmentPayment,,A15781PHGW377Y,-1.500,3M47JKRKCXLQ7FUNEG58ROWE7O968I,3CFJTT4SXUA5M5IZWFRSZBMCOHGI7U
3EQBKRKMHHOL1JV52XNORCUSFT13V6,2019-07-23 12:01:56 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M47JKRKCXLQ7FUNEG58ROWE7O968I,3CFJTT4SXUA5M5IZWFRSZBMCOHGI7U
3QDGNY2TXQRXDVWFI55ZENTZBXQFZL,2019-07-23 12:01:56 -0700,2019-07-23 21:03:43 -0700,AssignmentPayment,,A3FCP4H8Y64CTP,-1.500,3M47JKRKCXLQ7FUNEG58ROWE7O968I,3ND9UOO81LMM2LR6PQWHJ7DLYCULWO
3KZUOHBGA94CO356IMON7MHNNN7BKJ,2019-07-23 12:01:56 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M47JKRKCXLQ7FUNEG58ROWE7O968I,3ND9UOO81LMM2LR6PQWHJ7DLYCULWO
3NG1N2HABFVJOMOEIY8BXF5TBT9KXV,2019-07-23 12:01:56 -0700,2019-07-23 20:20:49 -0700,AssignmentPayment,,AWVP6SG9JJT8H,-1.500,3M4KL7H8KV78WFA2FVWTCE96TI316T,3SB5N7Y3O4OD83CKLS6GZKZ91TJ0GR
31NSWZKO2C3H9PNTY5VPVHT7BWAGIU,2019-07-23 12:01:56 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M4KL7H8KV78WFA2FVWTCE96TI316T,3SB5N7Y3O4OD83CKLS6GZKZ91TJ0GR
3T4C43YM74G0ZWN56CUZ0P0947TNR7,2019-07-23 12:01:56 -0700,2019-07-23 17:49:57 -0700,AssignmentPayment,,A1Y6YA93AFCHPY,-1.500,3M47JKRKCXLQ7FUNEG58ROWE7O968I,31Q0U3WYDQZUMZM1O86M7C5Q7GV17D
3DJWW82EWND0NORUE1K6HRNSQJ7JCZ,2019-07-23 12:01:56 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M47JKRKCXLQ7FUNEG58ROWE7O968I,31Q0U3WYDQZUMZM1O86M7C5Q7GV17D
3B8OB0A7DS0617GD4QC7ZPO0PL3DPN,2019-07-23 12:01:57 -0700,2019-07-23 17:41:54 -0700,AssignmentPayment,,A3PIRKF57QSWMS,-1.500,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3O7L7BFSHF9QVKX9JN5Y5LETA4KIEG
3HRLGW5ZQC1NOXHN8BX2M2J1UBA9AS,2019-07-23 12:01:57 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3O7L7BFSHF9QVKX9JN5Y5LETA4KIEG
3Q19P5D1LGM6WZ72LE2P4E9ZZXDG1W,2019-07-23 12:01:57 -0700,2019-07-23 19:10:47 -0700,AssignmentPayment,,A25PFSORDO3SWQ,-1.500,3M47JKRKCXLQ7FUNEG58ROWE7O968I,3OB0CAO74I9O5U3GD6Z7CC5US43HYW
38S9LFVU60A7ER593Y13MZ9RCS2BMO,2019-07-23 12:01:57 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M47JKRKCXLQ7FUNEG58ROWE7O968I,3OB0CAO74I9O5U3GD6Z7CC5US43HYW
3WAQ9GYPENT262LH8IG8S7OWXHRG3O,2019-07-23 12:01:57 -0700,2019-07-23 20:11:35 -0700,AssignmentPayment,,A1KQV9A4YITCSJ,-1.500,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3SKRO2GZ72BIHETL72VVBHACDZ5K1A
3NP75TRLCV0VEUQLGEGGE3YW7SHBO3,2019-07-23 12:01:57 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3SKRO2GZ72BIHETL72VVBHACDZ5K1A
36CH2GJ6P3OGMEQX7LVL0RFII4BIAE,2019-07-23 12:01:57 -0700,2019-07-23 18:27:54 -0700,AssignmentPayment,,A27NBGO9FXJS8Q,-1.500,3M47JKRKCXLQ7FUNEG58ROWE7O968I,35K3O9HUACX6LTVJIFZD2O11UE5FE3
3X5GT0VBDI1JJBX2VMT04LG466QDVE,2019-07-23 12:01:57 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3M47JKRKCXLQ7FUNEG58ROWE7O968I,35K3O9HUACX6LTVJIFZD2O11UE5FE3
3NJMZFXPO7Z8THOTJGWWU0L4JT7KZS,2019-07-23 12:01:57 -0700,2019-07-23 17:53:34 -0700,AssignmentPayment,,AAF1SJ9FCBF75,-1.500,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3DI28L7YXBYFVE1BBGKSDMX7T2D1EB
3F6GPEHMMQZ8FKDHY8G18X8K30ZGK5,2019-07-23 12:01:57 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3DI28L7YXBYFVE1BBGKSDMX7T2D1EB
3EXI7M8UNLW28XYUKB3T1JJJYL25DT,2019-07-23 12:01:58 -0700,2019-07-23 17:24:58 -0700,AssignmentPayment,,AHBWX3WYMAB0E,-1.500,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3VHHR074H417C6Q5HIO5RRE45MG7L5
3H1VELK72G26OLRDOLSPWD0FUYJ0YH,2019-07-23 12:01:58 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3VHHR074H417C6Q5HIO5RRE45MG7L5
32JV4H0B1FABQNBIIDFLTXBSFBR8CY,2019-07-23 12:01:58 -0700,2019-07-23 21:03:22 -0700,AssignmentPayment,,A2T974CBTMP1AT,-1.500,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3W92K5RLWV1VL7OG7TBEGGYA5GH5V5
34EBNCWZXW1D58002CO6FXRDV493X9,2019-07-23 12:01:58 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3W92K5RLWV1VL7OG7TBEGGYA5GH5V5
3VMK265X1S3RDKWSHIGW4KOFQ3RDRF,2019-07-23 12:01:58 -0700,2019-07-23 18:15:35 -0700,AssignmentPayment,,A2FL477TMKC91L,-1.500,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3A0EX8ZRN98EEH0UDEPBQ12WXSVBY9
3ONVJAKMUQKBHCELSPTTSX9PUEV9CU,2019-07-23 12:01:58 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3A0EX8ZRN98EEH0UDEPBQ12WXSVBY9
3PVIZTMMAPSDFB0XA1ZU041RSSQNTK,2019-07-23 12:01:58 -0700,2019-07-23 18:58:26 -0700,AssignmentPayment,,AWIYSXEA51PFZ,-1.500,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3KMS4QQVK3A97TNTE1AG0JE6EAPFK9
3NMABV6SFB6FKMB8ASQ17FNVBVKJES,2019-07-23 12:01:58 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,3DGDV62G7OTNV6A3DVVGNXASGT6P23,3KMS4QQVK3A97TNTE1AG0JE6EAPFK9
3W1EEYJT3D65FJ9H3V6FUNFMWDSA0F,2019-07-23 18:24:36 -0700,2019-07-24 01:33:12 -0700,AssignmentPayment,,A20PV3RB3I0W8S,-1.500,3B0MCRZMBREJNDB9FT6SJAILR4QPPK,3VNXK88KKD2EMUQSAJOVSW3CRG69VE
3JXDJ3MGZJKLJT6F2C9BJ0UA3UO5LK,2019-07-23 18:24:36 -0700,2019-07-24 00:57:29 -0700,FeePayment,,Mechanical Turk,-0.300,3B0MCRZMBREJNDB9FT6SJAILR4QPPK,3VNXK88KKD2EMUQSAJOVSW3CRG69VE
